empty;ID_INNPACT;IM;POOL;NOVAL;STATUS;MFI_NAME_ACTUAL;GROUP_NAME;ID_MFI;ORIGINAL_NOMINAL_AMOUNT_USD;APPROVED_NOMINAL_AMOUNT_USD;RATIFIED_NOMINAL_AMOUNT_USD;NOMINAL_AMOUNT_USD;ORIGINAL_NOMINAL_LOCAL_CCY;APPROVED_NOMINAL_LOCAL_CCY;RATIFIED_NOMINAL_LOCAL_CCY;NOMINAL_LOCAL_CCY;LOCAL_CCY;ORIGINAL_TENOR;APPROVED_TENOR;RATIFIED_TENOR;TENOR;PROPOSED_SPREAD;PROPOSED_UPFRONT;PROPOSED_FIXED_RATE;RATIFIED_SPREAD;RATIFIED_UPFRONT;RATIFIED_FIXED_RATE;APPROVED_SPREAD;APPROVED_UPFRONT;APPROVED_FIXED_RATE;EXECUTED_SPREAD;EXECUTED_UPFRONT;EXECUTED_FIXED_RATE;BOND;ASSIGNMENT_DATE;DEADLINE_ASSIGNMENT_DATE;RATIFICATION_DATE;DEADLINE_RATIFICATION_DATE;APPROVAL_DATE;DEADLINE_APPROVAL_DATE;DISBURSEMENT_DATE;EXPECTED_DISBURSEMENT_DATE;MATURITY_DATE;REPAYMENT_TYPE;INTEREST_RATE_TYPE;INTEREST_FRENQUENCY;REFERENCE_RATE;PROBABILITIES;TYPE_OF_LOAN;TRANCHE;Parent Loan Noval;NOMINAL_ACP;TYPE_HEDGE_STUCTURE;SPECIFIC_APPROVAL_CONDITION;FX_RATE_AT_DISBURSEMENT;TOTAL_SYNDICATION_AMOUNT;IS_IT_A_BANK;ARCHIVES_STATUS;CRITICAL_CASES;CREATION_DATE;CREATED_BY;MODIFICATION_DATE;MODIFIED_BY;InstitutionType;OtherInstitutionType;Restructured;Provisioned;Watch listed;;;;;;;;;;;;;;;;;;;;
;42466;IN;Global;31;Matured;AccessBank Closed Joint Stock Company;Access Holding;4756;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;USD;36;36;36;36;3.95;0.00;0.00;4.00;0.00;0.00;4.00;0.00;0.00;4.00;0.00;0.00;Direct;09-07-11;07-10-11;17-07-11;17-10-11;15-09-11;14-12-11;18-10-11;18-10-11;18-10-14;BULLET;Floating;0;;75.00;Renewal/ Add.Exp.;;;;NO HEDGE - USD Libor;;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42467;IN;Global;30;Matured;AccessBank Closed Joint Stock Company;Access Holding;4756;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;USD;36;36;36;36;3.00;0.00;0.00;3.00;0.00;0.00;3.00;0.00;0.00;3.00;0.00;0.00;Direct;15-02-10;16-05-10;12-02-10;12-05-10;13-04-10;12-07-10;30-08-10;30-08-10;30-08-13;BULLET;Floating;0;;75.00;New;;;;NO HEDGE - USD Libor;;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42468;IN;Global;32;Matured;AccessBank Closed Joint Stock Company;Access Holding;4756;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;7500000.0000000000000;USD;36;36;36;36;4.25;0.00;0.00;4.25;0.00;0.00;4.25;0.00;0.00;4.25;0.00;0.00;Direct;13-04-13;12-07-13;21-04-13;21-07-13;20-06-13;18-09-13;30-08-13;30-08-13;30-08-16;BULLET;Floating;0;;75.00;Renewal;;;;NO HEDGE - USD Libor;;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42469;IN;Global;33;Matured;AccessBank Closed Joint Stock Company;Access Holding;4756;10000000.0000000000000;10000000.0000000000000;10000000.0000000000000;10000000.0000000000000;10000000.0000000000000;10000000.0000000000000;10000000.0000000000000;10000000.0000000000000;USD;36;36;36;36;4.50;0.00;0.00;4.50;0.00;0.00;4.50;0.00;0.00;4.50;0.00;0.00;Direct;17-03-12;15-06-12;25-03-12;25-06-12;24-05-12;22-08-12;07-12-12;07-12-12;07-12-15;BULLET;Floating;0;;75.00;Add.Exp.;;;;NO HEDGE - USD Libor;;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42472;rA;Global;38;Matured;AccessBank Tajikistan;Access Holding;4758;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;USD;36;36;36;36;5.50;0.00;0.00;5.83;0.00;0.00;5.50;0.00;0.00;5.83;0.00;0.00;Direct;16-11-12;14-02-13;02-02-13;02-05-13;03-04-13;02-07-13;20-05-13;20-05-13;20-05-15;BULLET;Floating;0;;75.00;New;;;;NO HEDGE - USD Libor;;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42475;rA;Global;39;Matured;AccessBank Tajikistan;Access Holding;4758;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;USD;36;36;36;36;5.50;0.00;0.00;5.84;0.00;0.00;5.50;0.00;0.00;5.84;0.00;0.00;Direct;16-11-12;14-02-13;02-02-13;02-05-13;03-04-13;02-07-13;18-06-13;18-06-13;18-06-15;BULLET;Floating;0;;75.00;New;;;;NO HEDGE - USD Libor;;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42479;BO;Global;43;Matured;ACEP Cameroun;-;4759;3100000.0000000000000;3100000.0000000000000;3100000.0000000000000;3100000.0000000000000;1485006754.7000000000000;1485006754.7000000000000;1485006754.7000000000000;1485006754.7000000000000;XAF;30;30;30;30;4.75;1.00;0.00;4.00;1.00;0.00;4.00;1.00;0.00;5.02;1.00;0.00;Direct;13-03-14;11-06-14;26-01-14;26-04-14;27-03-14;25-06-14;06-05-14;06-05-14;07-11-16;BULLET;Floating;0;;50.00;New;;;;Cross CCY Swap;;479.03443700000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42484;rA;Global;147531;Matured;ACME;-;4761;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;96171073.5000000000000;96171073.5000000000000;96171073.5000000000000;96171073.5000000000000;HTG;24;24;24;24;6.75;1.00;15.00;6.00;1.00;15.00;6.00;1.00;15.00;6.13;1.00;15.00;Direct;10-10-17;08-01-18;21-09-17;21-12-17;20-11-17;18-02-18;22-12-17;22-12-17;22-01-20;BULLET;Fixed;0;;50.00;New;;;;Fixed hedged to LIBOR;;64.11404900000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;07-02-20;nawel.octave;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42487;BO;Global;127694;Matured;Advans Banque Congo;Advans;4764;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;USD;36;36;36;36;5.00;1.00;0.00;5.17;1.00;0.00;5.00;1.00;0.00;5.17;1.00;0.00;Direct;12-04-16;11-07-16;22-02-16;22-05-16;22-04-16;21-07-16;14-06-16;14-06-16;14-06-19;BULLET;Floating;0;;75.00;New;;;;NO HEDGE - USD Libor;;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;09-12-21;marco.putotto;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42488;BO;Global;49;Matured;Advans Banque Congo;Advans;4764;1000000.0000000000000;1000000.0000000000000;1000000.0000000000000;1000000.0000000000000;1000000.0000000000000;1000000.0000000000000;1000000.0000000000000;1000000.0000000000000;USD;24;24;24;24;6.60;0.00;0.00;7.05;0.00;0.00;6.60;0.00;0.00;7.05;0.00;0.00;Direct;03-09-12;02-12-12;19-08-12;19-11-12;18-10-12;16-01-13;19-12-12;19-12-12;19-12-14;BULLET;Floating;0;;75.00;New;;;;NO HEDGE - USD Libor;;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42490;BO;Global;53;Matured;Advans Cameroun;Advans;4765;1550000.0000000000000;1550000.0000000000000;1550000.0000000000000;1550000.0000000000000;737649043.9500000000000;737649043.9500000000000;737649043.9500000000000;737649043.9500000000000;XAF;24;24;24;24;4.75;0.00;0.00;4.75;0.00;0.00;4.75;4.94;0.00;4.94;0.00;0.00;Direct;18-09-13;17-12-13;26-09-13;26-12-13;25-11-13;23-02-14;13-12-13;13-12-13;14-12-15;BULLET;Floating;0;;50.00;Renewal/ Add.Exp.;;;;Cross CCY Swap;;475.90260900000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42492;BO;Global;51;Matured;Advans Cameroun;Advans;4765;1000000.0000000000000;1000000.0000000000000;1000000.0000000000000;1000000.0000000000000;505226669.0000000000000;505226669.0000000000000;505226669.0000000000000;505226669.0000000000000;XAF;24;24;24;24;4.25;0.00;0.00;4.25;0.00;0.00;4.25;4.69;0.00;4.69;0.00;0.00;Direct;05-10-11;03-01-12;17-09-11;17-12-11;16-11-11;14-02-12;02-12-11;02-12-11;02-12-13;BULLET;Floating;0;;50.00;New;;;;Cross CCY Swap;;505.22666900000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42494;IN;Global;141470;Matured;Advans Ghana;Advans;4767;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;6614997.0000000000000;6614997.0000000000000;6614997.0000000000000;6614997.0000000000000;GHS;36;36;36;36;4.00;1.00;20.00;4.00;1.00;20.00;4.00;1.00;20.00;4.30;1.00;20.00;Direct;12-05-17;10-08-17;15-06-17;15-09-17;14-08-17;12-11-17;29-08-17;29-08-17;28-08-20;BULLET;Fixed;0;;50.00;New;;;;Fixed hedged to LIBOR;final fixed rate not lower than 20%;4.40999800000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;01-09-20;marco.putotto;MFI;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42495;IN;Global;150315;Matured;Advans Ghana;Advans;4767;750000.0000000000000;750000.0000000000000;750000.0000000000000;750000.0000000000000;3309458.2500000000000;3309458.2500000000000;3309458.2500000000000;3309458.2500000000000;GHS;24;24;24;24;5.10;0.50;19.50;5.10;0.50;19.50;5.10;0.50;19.50;5.15;0.50;19.50;Direct;14-02-18;15-05-18;11-01-18;11-04-18;12-03-18;10-06-18;19-03-18;19-03-18;19-03-20;BULLET;Fixed;0;;50.00;Renewal;;;;Fixed hedged to LIBOR;Investment Proposal was not finalised for 26/2 IC -> will be presented for March IC;4.41261100000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;11-05-20;nawel.octave;MFI;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42497;IN;Global;142197;Matured;Advans Ghana;Advans;4767;750000.0000000000000;750000.0000000000000;750000.0000000000000;750000.0000000000000;3307498.5000000000000;3307498.5000000000000;3307498.5000000000000;3307498.5000000000000;GHS;6;6;6;6;4.00;1.00;0.00;4.00;1.00;20.00;4.00;1.00;0.00;4.52;1.00;20.00;Direct;12-05-17;10-08-17;29-06-17;29-09-17;28-08-17;26-11-17;19-09-17;19-09-17;19-03-18;BULLET;Fixed;0;;50.00;Add.Exp.;;;;Fixed hedged to LIBOR;;4.40999800000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;11-05-20;nawel.octave;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42501;BO;Global;59;Matured;AFK;Mercy Corps;4769;649000.0000000000000;649000.0000000000000;649000.0000000000000;649000.0000000000000;511406.1699696620000;511406.1699696620000;511406.1699696620000;511406.1699696620000;EUR;24;24;24;24;6.00;0.00;0.00;6.00;0.00;0.00;6.00;6.58;0.00;6.58;0.00;0.00;Direct;08-12-11;07-03-12;20-11-11;20-02-12;19-01-12;18-04-12;05-04-12;05-04-12;07-04-14;BULLET;Floating;0;;50.00;New;;;;Cross CCY Swap;;0.78799101690240700000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42509;rA;Global;152238;Matured;Alternativa del Sur;-;4775;10000000.0000000000000;10000000.0000000000000;10000000.0000000000000;10000000.0000000000000;10000000.0000000000000;10000000.0000000000000;10000000.0000000000000;10000000.0000000000000;USD;30;30;30;30;4.50;1.00;13.20;4.50;1.00;13.20;4.50;1.00;13.20;4.50;1.00;13.20;Direct;06-12-17;06-03-18;19-02-18;19-05-18;20-04-18;19-07-18;10-05-18;10-05-18;10-11-20;BULLET;Fixed;0;;95.00;New;;;;Fixed hedged to LIBOR;The IC requested rA to show the correct level of equity, once they will submit the investment proposal for this MFI. // stressed importance to be disbursed by 11th May;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;19-11-20;marco.putotto;MFI;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42510;IN;Global;142531;Matured;AMC de R.L. de C.V.;-;4776;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;USD;36;36;36;36;5.50;1.00;7.25;5.50;1.00;7.25;5.50;1.00;7.25;5.50;1.00;7.25;Direct;16-03-17;14-06-17;23-03-17;23-06-17;22-05-17;20-08-17;08-09-17;08-09-17;08-09-20;BULLET;Fixed;0;;75.00;New;;;;Fixed hedged to LIBOR;;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;17-09-20;marco.putotto;MFI;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42516;IN;Global;157644;Matured;Amret Co Limited;Advans;4778;1250000.0000000000000;1250000.0000000000000;1250000.0000000000000;1250000.0000000000000;1250000.0000000000000;1250000.0000000000000;1250000.0000000000000;1250000.0000000000000;USD;6;6;6;6;4.80;1.00;7.33;4.80;1.00;7.33;4.80;1.00;7.33;4.80;1.00;7.33;Direct;23-05-18;21-08-18;31-05-18;31-08-18;30-07-18;28-10-18;31-07-18;01-08-18;31-01-19;BULLET;Fixed;0;;75.00;Renewal;;;;Fixed hedged to LIBOR;With pre-payment option that can be decided by AMRET with no penalties and, CY consider, with 30 dasy prior notice.;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;11-02-19;nawel.octave;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42517;IN;Global;115050;Matured;Amret Co Limited;Advans;4778;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;USD;36;36;36;36;5.00;1.00;0.00;5.25;1.00;0.00;5.25;1.00;0.00;5.25;1.00;0.00;Direct;19-09-14;18-12-14;27-09-14;27-12-14;26-11-14;24-02-15;17-02-15;17-02-15;16-02-18;BULLET;Floating;0;;75.00;Renewal;;;;NO HEDGE - USD Libor;Cy to send info on over-indebtedness;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42520;IN;Global;77;Matured;Amret Co Limited;Advans;4778;4000000.0000000000000;4000000.0000000000000;4000000.0000000000000;4000000.0000000000000;4000000.0000000000000;4000000.0000000000000;4000000.0000000000000;4000000.0000000000000;USD;36;36;36;36;5.00;0.00;0.00;5.00;0.00;0.00;5.00;0.00;0.00;5.00;0.00;0.00;Direct;17-05-13;15-08-13;25-05-13;25-08-13;24-07-13;22-10-13;09-09-13;09-09-13;09-09-16;BULLET;Floating;0;;75.00;Add.Exp.;;;;NO HEDGE - USD Libor;Maturity of 3 years;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42521;IN;Global;95904;Matured;Amret Co Limited;Advans;4778;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;3000000.0000000000000;USD;48;48;48;48;4.50;1.00;0.00;5.00;1.00;0.00;5.00;1.00;0.00;5.00;1.00;0.00;Direct;25-11-12;23-02-13;03-12-12;03-03-13;01-02-13;02-05-13;06-04-13;06-04-13;05-04-17;BULLET;Floating;0;;75.00;Add.Exp.;;;;NO HEDGE - USD Libor;;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42522;IN;Global;94294;Matured;Amret Co Limited;Advans;4778;2000000.0000000000000;2000000.0000000000000;2000000.0000000000000;2000000.0000000000000;2000000.0000000000000;2000000.0000000000000;2000000.0000000000000;2000000.0000000000000;USD;48;48;48;48;4.50;0.00;0.00;5.00;0.00;0.00;5.00;0.00;0.00;5.00;0.00;0.00;Direct;25-11-12;23-02-13;03-12-12;03-03-13;01-02-13;02-05-13;06-04-13;06-04-13;05-04-17;BULLET;Floating;0;;75.00;Renewal/ Add.Exp.;;;;NO HEDGE - USD Libor;;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
